Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
iCOS-iCOSL Signaling in T Helper Cells	4.27E00	3.78E-01	2.137	AKT1,AKT2,AKT3,CAMK2B,CAMK4,CD40,GAB2,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICOSLG/LOC102723996,IKBKE,IKBKG,IL2RB,IL2RG,INPP5D,LCK,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLEKHA2,PPP3CA,PTEN,PTPRC,RAC1,RELA,VAV1	
Type I Diabetes Mellitus Signaling	4.27E00	3.78E-01	3.286	BCL2,BID,CASP3,CASP8,FAS,GAD2,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,HLA-G,IFNGR2,IKBKE,IKBKG,IL1RAP,IRF1,LTA,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOS2,PTPRN,RELA,SOCS1,SOCS3,STAT1,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRADD,TRAF2	
Aryl Hydrocarbon Receptor Signaling	4.24E00	3.57E-01	-0.180	AHR,AIP,ALDH1A1,ALDH1L1,ALDH3A2,ALDH4A1,ALDH5A1,ALDH6A1,ATM,CCNA1,CCND1,CCND3,CCNE1,CDKN1A,CDKN1B,CYP1A1,DCT,FAS,FOS,GSTA3,GSTA5,GSTK1,GSTM1,GSTM2,Gstm3,GSTM4,GSTM5,Gstm6,HSP90AB1,JUN,MGST2,MGST3,NCOA2,NCOA3,NCOA7,NFIA,NFIB,NFIC,NFIX,NFKB2,NQO2,NR0B2,NRIP1,POLA1,RBL2,RELA,SMARCA4,TGFB1,TGM2,TNF,TRIP11	
Small Cell Lung Cancer Signaling	4.24E00	4.23E-01	0.894	AKT1,AKT2,AKT3,BCL2,BID,CCND1,CCNE1,CDKN1B,CKS1B,FHIT,IKBKE,IKBKG,MAX,NFKB2,NFKBIA,NFKBIB,NFKBIE,PA2G4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTEN,RELA,SUV39H1,TRAF2,TRAF4	
Nicotine Degradation II	4.17E00	4.31E-01	-4.914	ADH7,CSGALNACT1,CYP1A1,CYP2B6,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP2C9,CYP2J2,CYP2U1,CYP3A5,CYP4B1,CYP4F8,CYP51A1,FMO1,FMO2,FMO4,FMO5,INMT,UGT1A1,UGT1A3,UGT1A6,UGT1A8 (includes others),UGT2A3,UGT2B10,UGT2B17,UGT2B28,UGT2B7	
Superpathway of Melatonin Degradation	4.17E00	4.31E-01	-4.158	CSGALNACT1,CYP1A1,CYP2B6,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP2C9,CYP2J2,CYP2U1,CYP3A5,CYP4B1,CYP4F8,CYP51A1,IL4I1,MAOA,MAOB,SMOX,SULT1B1,Sult1d1,UGT1A1,UGT1A3,UGT1A6,UGT1A8 (includes others),UGT2A3,UGT2B10,UGT2B17,UGT2B28,UGT2B7	
SAPK/JNK Signaling	4.13E00	3.82E-01	-0.333	ATF2,DAXX,DUSP10,DUSP4,DUSP8,GNB1,GNG5,JUN,LCK,MAP2K4,MAP3K1,MAP3K12,MAP3K13,MAP3K3,MAP3K4,MAP4K1,MAP4K3,MAP4K5,MAPK8IP1,MRAS,NFATC1,NFATC3,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2,TRADD,TRAF2	
Gα12/13 Signaling	4.13E00	3.62E-01	0.309	AKT1,AKT2,AKT3,CDH1,CDH15,CDH22,CDH23,CDH24,CDH26,F2RL1,IKBKE,IKBKG,JUN,LPAR3,MAP2K1,MAP2K4,MAP3K1,MEF2A,MRAS,MYL10,MYL9,MYLPF,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTK2B,RAF1,RALB,RAP2A,RAP2B,RASA1,RASD1,RASD2,RELA,RHOA,ROCK2,TEC,VAV1,VAV3	
Antioxidant Action of Vitamin C	4.12E00	3.76E-01	-0.174	ABHD3,CSF2,GPLD1,HMOX1,IKBKE,IKBKG,MAP2K4,MAPK11,MAPK13,NAPEPLD,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOTUM,NXN,PLA2G12A,PLA2G1B,Pla2g2a,PLA2G2C,PLA2G4C,PLA2G5,PLA2R1,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PLD1,PLD5,Pld6,PNPLA3,RELA,SLC23A3,SLC2A1,SLC2A2,STAT5B,TNF,TXNRD1	
Role of JAK1 and JAK3 in γc Cytokine Signaling	4.06E00	4.2E-01	NaN	CRLF2,FES,IL15,IL2RB,IL2RG,IL4R,IRS2,JAK3,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTK2B,PTPN11,RALB,RAP2A,RAP2B,RASD1,RASD2,SOCS1,SOCS3,STAT1,STAT3,STAT5B,STAT6	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	4.06E00	3.93E-01	NaN	BCL10,CAMK4,CARD11,FOS,IKBKE,IKBKG,JUN,MALT1,MAP2K1,MAP2K4,MAP3K1,MRAS,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,PLCG2,PPP3CA,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SOS2,TGFB1,TGFBR1,VAV1,VAV3	
Thyroid Cancer Signaling	4.05E00	4.05E-01	-0.354	AKT1,AKT2,AKT3,CCND1,CDH1,FOS,HNF1A,INSR,IRS2,JUN,KLK3,LEF1,MAP2K1,MRAS,MTOR,NTRK1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTEN,RALB,RAP2A,RAP2B,RASD1,RASD2,RET,TCF4,TCF7L1	
Glioma Signaling	4.02E00	3.73E-01	-0.557	AKT1,AKT2,AKT3,CAMK1,CAMK1D,CAMK2B,CAMK4,CCND1,CDKN1A,CDKN2D,E2F2,E2F4,EGF,IDH1,IDH3B,MAP2K1,MRAS,MTOR,PA2G4,PDGFA,PDGFC,PDGFRB,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,PTEN,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RBL2,SOS2,SUV39H1	
PDGF Signaling	4.01E00	3.95E-01	0.707	CSNK2A2,FOS,INPP5D,INPP5J,INPP5K,JAK3,JUN,MAP2K1,MAP2K4,MAP3K1,MRAS,PDGFA,PDGFC,PDGFRB,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,RAF1,RALB,RAP2A,RAP2B,RASA1,RASD1,RASD2,SOS2,SPHK1,SRF,STAT1,STAT3	
Erythropoietin Signaling	4.01E00	4.08E-01	NaN	AKT1,AKT2,AKT3,FOS,JUN,MAP2K1,MRAS,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SOCS1,SOCS3,SOS2,STAT5B	
Toll-like Receptor Signaling	4.01E00	4.08E-01	1.789	CD14,ECSIT,FOS,IKBKG,IL18,IRAK2,JUN,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAPK11,MAPK13,MYD88,NFKB2,NFKBIA,PPARA,RELA,TICAM1,TIRAP,TLR1,TLR2,TLR5,TLR9,TNF,TNFAIP3,TOLLIP,TRAF4,Ubb,UBC,UBD	
Role of MAPK Signaling in the Pathogenesis of Influenza	3.92E00	4E-01	NaN	ABHD3,AKT1,AKT2,AKT3,ATF2,BCL2,CASP3,CCL5,CXCL10,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MRAS,PLA2G12A,PLA2G1B,Pla2g2a,PLA2G2C,PLA2G4C,PLA2G5,PLA2R1,PNPLA3,RABGEF1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,TNF	
Salvage Pathways of Pyrimidine Ribonucleotides	3.92E00	3.81E-01	0.333	ACVR2A,ADPGK,AK1,AKT2,APOBEC3B,CDA,CDADC1,CDK1,CMPK2,DMPK,GRK4,GRK5,GRK6,HIPK1,LIMK1,LIMK2,MAK,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K6,MAP3K8,NEK2,NME2,NME7,PAK1,PAK3,PCK1,PIM1,PLK1,PRKAA2,PRPF4B,SGK1,UCK2,UPP1,UPRT	
Chemokine Signaling	3.92E00	4E-01	-0.186	CAMK1,CAMK1D,CAMK2B,CAMK4,CCL5,CFL1,FOS,GNAI1,GNAI2,JUN,LIMK1,LIMK2,MAP2K1,MAPK11,MAPK13,MRAS,NOX1,PIK3CG,PLCB1,PLCB2,PLCB4,PLCG2,Ppp1r12b,PTK2B,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,ROCK2	
HMGB1 Signaling	3.91E00	3.39E-01	2.111	AGER,AKT1,AKT2,AKT3,CSF2,FOS,ICAM1,IFNGR2,IL15,IL18,JUN,LIF,LTA,LTB,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MRAS,NFKB2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,SERPINE1,TGFB1,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TNFSF10,TNFSF12,TNFSF13,TNFSF15	
mTOR Signaling	3.9E00	3.24E-01	0.566	AKT1,AKT2,AKT3,ARHGAP8/PRR5-ARHGAP8,EIF3B,EIF3C,EIF3D,EIF3G,EIF4A3,EIF4EBP1,EIF4G1,FKBP1A,GNB1L,GPLD1,HMOX1,INSR,MRAS,MTOR,NAPEPLD,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLD1,PLD5,Pld6,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PRKAA2,PRKD3,PRR5,PRR5L,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RICTOR,RND1,RND2,RPS2,RPS27L,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,ULK1	
ErbB Signaling	3.88E00	3.83E-01	0.870	AKT1,AREG,EGF,EREG,FOS,HBEGF,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MRAS,MTOR,NRG4,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SOS2	
Hereditary Breast Cancer Signaling	3.87E00	3.5E-01	NaN	ACTB,AKT1,AKT2,AKT3,ARID2,ATM,BARD1,BRCA2,CCND1,CDK1,CDKN1A,FANCM,GADD45B,GADD45G,HDAC1,HDAC5,HDAC8,MRAS,PBRM1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,POLR2B,POLR2C,POLR2G,POLR2I,PTEN,RAD51,RALB,RAP2A,RAP2B,RASD1,RASD2,RFC3,RFC5,SFN,SMARCA2,SMARCA4,SMARCD3,SMARCE1,TUBG1,Ubb,UBC,UBD,WEE1	
iNOS Signaling	3.87E00	4.67E-01	3.638	CAMK4,CD14,FOS,HMGA1,IFNGR2,IKBKE,IKBKG,IRAK2,IRF1,JAK3,JUN,MAPK11,MAPK13,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOS2,RELA,STAT1	
FGF Signaling	3.85E00	3.93E-01	-0.707	AKT1,AKT2,AKT3,ATF2,ATF4,CREB3,CREB3L3,CREB3L4,FGF1,FGF14,FGFR2,FGFR3,FGFR4,MAP2K1,MAP2K3,MAP2K6,MAP3K1,MAPK11,MAPK13,MAPKAPK2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RAC1,RAF1,RPS6KA5,SOS2,STAT3	
Role of NFAT in Regulation of the Immune Response	3.82E00	3.31E-01	1.260	AKAP5,AKT1,AKT2,AKT3,ATF2,CAMK4,CD79B,CSNK1E,CSNK1G3,FOS,GNA14,GNA15,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,IKBKE,IKBKG,JUN,LCK,MAP2K1,MEF2A,MRAS,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,PLCG2,PPP3CA,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RCAN2,RELA,SOS2	
Synaptogenesis Signaling Pathway	3.79E00	3.01E-01	-0.965	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,AP2M1,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,ATF2,ATF4,CACNA1B,CACNA2D1,CACNB4,CAMK2B,CAMK4,CDH1,CDH15,CDH22,CDH23,CDH24,CDH26,CFL1,COMP,CPLX2,CREB3,CREB3L3,CREB3L4,CTNND1,DAB1,EFNB2,EIF4EBP1,EPHA2,EPHA4,EPHA7,FGR,GRIN2D,GRINA,GRM2,HCK,ITSN2,LCK,LIMK1,LRP1,LRP8,MRAS,MTOR,NAP1L1,NAPB,NSF,PAK1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKACB,PRKAR1B,RAB5C,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,SGTA,SHF,SNAP25,SNCA,SOS2,STX1A,STXBP1,STXBP4,STXBP5,STXBP6,SYNGAP1,SYT11,SYT17,SYT3,SYT8,WASF1,YES1	
Dopamine-DARPP32 Feedback in cAMP Signaling	3.78E00	3.37E-01	-2.021	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ATF2,ATF4,ATP2A2,CACNA1A,CACNA1D,CAMK4,CAMKK1,CREB3,CREB3L3,CREB3L4,CREM,CSNK1E,CSNK1G3,GNAI1,GNAI2,GRIN2D,GRINA,KCNJ12,KCNJ15,KCNJ2,KCNJ3,KCNJ8,NOTUM,PLCB1,PLCB2,PLCB4,PLCD1,PLCG2,PLCH1,PLCL1,PPM1J,PPM1L,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PPP3CA,PRKACB,PRKAR1B,PRKD3,PRKG2	
Role of IL-17A in Arthritis	3.77E00	4.36E-01	NaN	ATF2,CCL5,IL17RC,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MAPKAPK2,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOS2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RELA,RPS6KA1	
HOTAIR Regulatory Pathway	3.73E00	3.38E-01	-0.816	AKT1,AKT2,AKT3,ATXN1,CDH1,CDKN1A,DNMT3B,ELAVL1,FOXA1,FOXM1,HDAC1,HNF1A,ICAM1,IRF1,JAM2,KDM1A,LEF1,let-7,MEX3B,MMP11,MMP15,MMP23B,MMP28,MMP7,MTF2,NFKB2,NFKBIA,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTEN,RELA,REST,RHOC,ROCK2,SNAI2,SNUPN,SRF,STAT3,STK38,TCF4,TCF7L1,TGFB1,WIF1,WNT11,WNT2B,WNT4,WNT7B,WNT9B,XIAP	
TREM1 Signaling	3.72E00	4E-01	2.191	AKT1,AKT2,AKT3,CD40,CD83,CIITA,CSF2,ICAM1,IL18,ITGA5,LAT2,MYD88,Naip1 (includes others),NFKB2,NLRC3,NLRC4,NLRC5,NLRP6,NLRP9,NOD1,NOD2,PLCG2,RELA,STAT3,STAT5B,TLR1,TLR2,TLR5,TLR9,TNF	
VEGF Signaling	3.71E00	3.74E-01	0.898	ACTB,ACTG1,ACTN4,AKT1,AKT2,AKT3,BCL2,EIF2B4,EIF2B5,ELAVL1,FLT4,MAP2K1,MRAS,NOS3,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PTK2B,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,ROCK2,SFN,SOS2,VCL,YWHAE	
PD-1, PD-L1 cancer immunotherapy pathway	3.71E00	3.68E-01	-2.137	AKT1,AKT2,AKT3,B2M,CBLB,CD274,CDKN1B,CSNK2A2,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,HLA-G,IFNGR2,IL2RB,IL2RG,JAK3,LATS1,LCK,PDCD4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTEN,PTPN11,STAT5B,TGFB1,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,ZBTB12	
FAT10 Cancer Signaling Pathway	3.7E00	4.57E-01	1.528	ACVR1C,ACVR2A,AKT1,AKT2,AKT3,BMPR2,IKBKE,IKBKG,MAD2L2,NFKB2,NFKBIA,RELA,STAT3,TCF4,TGFB1,TGFBR1,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,UBD	
CCR3 Signaling in Eosinophils	3.69E00	3.55E-01	-0.577	CAMK4,CFL1,GNAI1,GNAI2,GNB1,GNB1L,GNB2,GNG5,LIMK1,LIMK2,MAP2K1,MAPK11,MAPK13,MRAS,MYLK,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLA2G12A,PLA2G1B,PLA2G4C,PLA2G5,PLCB1,PLCB2,PLCB4,Ppp1r12b,PRKD3,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,ROCK2	
NF-κB Activation by Viruses	3.69E00	3.9E-01	1.095	AKT1,AKT2,AKT3,IKBKE,IKBKG,ITGA2,ITGA4,ITGA5,LCK,MAP3K1,MRAS,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,TNFRSF14,TRAF2	
BAG2 Signaling Pathway	3.69E00	4.65E-01	0.447	ANXA2,ATXN3,CASP3,CDKN1A,CTSB,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA1L,HSPA2,HSPA5,HSPA9,MAPKAPK2,NFKB2,PINK1,PSME1,PSME2,PSME3,PSMF1,RELA	
Retinoate Biosynthesis I	3.68E00	5E-01	-3.153	ADH1C,ADH4,ADH7,ALDH1A1,DHRS3,DHRS4,DHRS9,RBP1,RBP2,RBP7,RDH10,RDH13,RDH16,RDH5,Rdh7,SDR16C5,SDR9C7	
Ovarian Cancer Signaling	3.65E00	3.45E-01	0.000	AKT1,AKT2,AKT3,APC,BCL2,BRCA2,CCND1,EDN1,EGF,FZD1,FZD2,FZD3,FZD6,HNF1A,LEF1,MAP2K1,MMP7,MRAS,MTOR,PA2G4,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKACB,PRKAR1B,PTEN,PTGS1,RAD51,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SUV39H1,TCF4,TCF7L1,WNT11,WNT2B,WNT4,WNT7B,WNT9B	
IL-3 Signaling	3.64E00	3.92E-01	1.671	AKT1,AKT2,AKT3,FOS,GAB2,IL3RA,INPP5D,JUN,MAP2K1,MRAS,PAK1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPP3CA,PRKD3,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,STAT1,STAT3,STAT5B,STAT6	
GDNF Family Ligand-Receptor Interactions	3.6E00	3.95E-01	0.784	ARTN,DOK1,DOK4,DOK7,FOS,GFRA4,IRS2,JUN,MAP2K1,MAP2K4,MRAS,PDLIM7,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,RAC1,RAF1,RALB,RAP2A,RAP2B,RASA1,RASD1,RASD2,RET,SOS2	
Melanoma Signaling	3.56E00	4.4E-01	0.000	AKT1,AKT2,AKT3,CCND1,CDH1,CDKN1A,MAP2K1,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTEN,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2	
Insulin Receptor Signaling	3.56E00	3.43E-01	1.093	AKT1,AKT2,AKT3,EIF2B4,EIF2B5,EIF4EBP1,EPM2A,GYS1,INPP5D,INPP5J,INPP5K,INSR,IRS2,LIPE,MAP2K1,MRAS,MTOR,PDE3B,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPP1R11,PPP1R14B,PPP1R14C,PPP1R14D,PPP1R3D,PRKACB,PRKAR1B,PTEN,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,SCNN1A,SCNN1G,SGK1,SOCS3,SOS2,STX4,STXBP4,TRIP10	
Amyotrophic Lateral Sclerosis Signaling	3.56E00	3.71E-01	1.616	AKT3,ALS2,BCL2,BID,BIRC3,CACNA1A,CACNA1D,CAPN2,CAPN5,CAPN7,CAPN8,CAPN9,CAPNS1,CASP3,CASP7,CAT,GRIN2D,GRINA,NAIP,Naip1 (includes others),NEFL,PAK1,PDGFC,PGF,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPP3CA,PRPH,RAB5C,RAC1,XIAP	
Activation of IRF by Cytosolic Pattern Recognition Receptors	3.55E00	4.13E-01	2.353	ADAR,ATF2,CD40,DDX58,DHX58,IFIH1,IFIT2,Ifna4,IKBKE,IKBKG,IRF7,IRF9,ISG15,JUN,LTA,MAP2K4,NFKB2,NFKBIA,NFKBIB,NFKBIE,PIN1,RELA,STAT1,STAT2,TNF,ZBP1	
Thrombopoietin Signaling	3.55E00	4.13E-01	1.225	FOS,GAB2,IRS2,JUN,MAP2K1,MRAS,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCG2,PRKD3,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,STAT1,STAT3,STAT5B,THPO	
IL-23 Signaling Pathway	3.52E00	4.55E-01	-0.688	AKT1,AKT2,AKT3,CSF2,IL12RB1,IL12RB2,NFKB2,NFKBIA,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RELA,RORA,SOCS3,STAT3,TNF	
Semaphorin Signaling in Neurons	3.52E00	4.17E-01	NaN	ARHGEF12,CFL1,DPYSL5,FES,LIMK1,LIMK2,NRP1,PAK1,PAK3,PAK4,PAK6,PLXNA1,PLXNB1,RAC1,RAC2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,ROCK2	
B Cell Activating Factor Signaling	3.5E00	4.63E-01	2.138	FOS,IKBKE,IKBKG,JUN,MAP2K4,MAP3K1,MAPK11,MAPK13,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELA,TNFRSF13B,TRAF2	
Fatty Acid β-oxidation I	3.5E00	5E-01	-3.000	ACAA1,Acaa1b,ACAA2,ACADM,ACSL1,ACSL3,Eci3,EHHADH,HADH,HSD17B4,SCP2,SLC27A1,SLC27A2,SLC27A3,SLC27A5,SLC27A6	
CNTF Signaling	3.48E00	4.21E-01	0.426	AKT1,MAP2K1,MRAS,MTOR,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,STAT1,STAT3	
Cdc42 Signaling	3.48E00	3.29E-01	1.333	APC,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,ATF2,B2M,BAIAP2,CDC42BPA,CDC42EP5,CDC42SE1,CFL1,EXOC3,FGD3,FOS,H2-K2/H2-Q9,H2-Q8,H2-T10,H2-T22,H2-T24,H2-T3,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,HLA-G,IQGAP1,IQGAP2,IQGAP3,ITGA2,ITGA4,ITGA5,JUN,LIMK1,LIMK2,MAP2K4,MAPK11,MAPK13,MYL10,MYL9,MYLK,MYLPF,PAK1,PAK3,PAK4,PARD6A,Ppp1r12b,RAF1,RASA1,VAV1	
Serotonin Degradation	3.47E00	4.03E-01	-4.041	ADH1C,ADH4,Adh6a,ADH7,ADHFE1,ALDH1A1,ALDH3A2,Aldh3b2,ALDH4A1,CSGALNACT1,DHRS4,DHRS9,IL4I1,MAOA,MAOB,SMOX,SULT1B1,Sult1d1,UGT1A1,UGT1A3,UGT1A6,UGT1A8 (includes others),UGT2A3,UGT2B10,UGT2B17,UGT2B28,UGT2B7	
Th1 and Th2 Activation Pathway	3.46E00	3.27E-01	NaN	ACVR1C,ACVR2A,BMPR2,CD274,CD40,CRLF2,CXCR3,GATA3,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,ICAM1,ICOSLG/LOC102723996,IFNGR2,IL12RB1,IL12RB2,IL17RB,IL18,IL18R1,IL2RB,IL2RG,IL4R,IRF1,JAG1,JAG2,JAK3,JUN,LTA,MAF,MAP2K6,NFATC1,NFATC3,NFATC4,NFIL3,NOTCH3,NOTCH4,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PSEN1,SOCS1,SOCS3,STAT1,STAT3,STAT5B,STAT6,TGFB1,TGFBR1,VAV1	
Maturity Onset Diabetes of Young (MODY) Signaling	3.43E00	5.71E-01	NaN	ALDOB,CACNA1A,CACNA1D,FABP1,FABP2,FOXA2,GCK,HNF1A,HNF1B,INSR,PKLR,SLC2A2	
